word	phonetic	meaning_cn	category	bnc_rank	frq_rank	wordfreq_zipf	exchange_info	data_quality	example_sentence
wish	wiʃ	n. 希望, 愿望, 祝愿, 命令, 请求\nvt. 愿, 想要, 希望, 祝愿\nvi. 希望	n.	586	1055		p:wished/i:wishing/3:wishes/s:wishes/d:wished	ecdict_complete	
inside	'in'said	n. 内部, 内脏, 内幕\na. 内部的, 秘密的, 户内的\nadv. 在里面\nprep. 在...之内	n.	1301	964		s:insides	ecdict_complete	
solution	sә'lu:ʃәn	n. 解决, 解答, 溶液\n[化] 溶液	n.	1058	1221		s:solutions	ecdict_complete	
mature	mә'tjuә	a. 成熟的, 到期的, 充分考虑的\nvt. 使成熟\nvi. 成熟, 到期	a.	4122	5133		3:matures/d:matured/i:maturing/p:matured/r:maturer	ecdict_complete	
role	rәul	n. 角色, 职责, 任务\n[医] 作用, 功用	n.	468	451		s:roles	ecdict_complete	
rather	'ræðә	adv. 宁可, 稍微, 相当	adv.	460	860			ecdict_complete	
weeks	wi:ks	n. 威克斯（姓氏）	n.	24881	0		0:week/1:s	ecdict_complete	
addition	ә'diʃәn	n. 加法, 增加的人(或物)\n[计] 加法	n.	2841	2048		s:additions	ecdict_complete	
supply	sә'plai	n. 补给, 供给, 供应品\nvt. 补给, 供给, 提供, 补充\nvi. 替代	n.	1048	1494		d:supplied/s:supplies/i:supplying/p:supplied/3:supplies	ecdict_complete	
nothing	'nʌθiŋ	n. 无, 不关紧要之事, 零\nadv. 毫不, 决不\ninterj. 什么也没有, 无	n.	258	315			ecdict_complete	
certain	'sә:tәn	a. 确定的, 某一个的, 必然的\n[法] 确凿的, 无疑的, 可靠的	a.	440	577			ecdict_complete	
executive	ig'zekjutiv	n. 执行部门, 执行委员会, 执行者, 经理主管人员\na. 执行的, 善于执行的, 善于经营的\n[计] 执行程序	n.	1094	863		s:executives	ecdict_complete	
running	'rʌniŋ	n. 赛跑, 流出, 运转\na. 流动的, 跑着的, 连续的	n.	3269	3252		0:run/1:i/i:running/s:runnings	ecdict_complete	
lower	'lәuә	a. 低的, 下级的, 下层的\nvi. 降低, 跌落, 减弱\nvt. 放下, 降下, 减弱, 贬低	a.	2932	2052		0:low/1:r/p:lowered/i:lowering/d:lowered/3:lowers	ecdict_complete	
necessary	'nesisәri	a. 必要的；必然的；必需的	a.	555	982		s:necessaries	ecdict_complete	
union	'ju:njәn	n. 联盟, 联合, 结合, 工会\n[化] 联合 / 联管节 / 活接头	n.	467	1658		s:unions	ecdict_complete	
jewelry	'dʒu:әlri	n. 珠宝, 珠宝类	n.	0	4187			ecdict_complete	
according	ә'kɒ:diŋ	a. 相符的, 根据...而定的\nadv. 相应地	a.	35013	478		0:accord/1:i	ecdict_complete	
clothing	'klәuðiŋ	n. 衣服	n.	3372	2650		i:clothing/0:clothing/1:i	ecdict_complete	
mon	mәun	abbr. 发动机辛烷值（Motor Octsne Number）；星期一（Monday）	abbr.	9197	0		s:mons	ecdict_complete	
particular	pә'tikjulә	n. 一项(或条、点), 个别项目, 详细说明\na. 特别的, 独有的, 挑剔的, 详尽的	n.	431	948			ecdict_complete	
fine	fain	n. 罚款, 罚金, 晴天, 精细\na. 好的, 晴朗的, 健康的, 细小的, 精细的\nvt. 罚款, 精炼, 澄清\nvi. 变清, 变细\nadv. 很好\n[计] 精细	n.	660	704		t:finest/d:fined/s:fines/r:finer/p:fined/3:fines/i:fining	ecdict_complete	
homepage	'hәumpeidʒ	n. 主页	n.	0	32615			ecdict_complete	
hour	auә	n. 小时, 钟头, 时间, ...点钟, 课时	n.	299	272		s:hours	ecdict_complete	
gas	gæs	n. 气体, 汽油, 瓦斯\n[化] 气体 / 煤气 / 瓦斯 / 毒气	n.	1205	1023		s:gases/i:gassing/p:gassed/3:gasses/d:gassed	ecdict_complete	
six	siks	num. 六, 六个	num.	293	424			ecdict_complete	
bush	buʃ	n. 矮树丛\n[化] 管衬	n.	2801	34013		s:bushes/d:bushed/i:bushing/p:bushed/3:bushes	ecdict_complete	
advice	әd'vais	n. 忠告, 劝告, 意见, 报道, 通知\n[经] 通知书, 通知, 建议	n.	962	1641			ecdict_complete	
career	kә'riә	n. 事业, 生涯, 成功\n[法] 职业, 专业, 履历	n.	1057	741		s:careers/p:careered/i:careering/3:careers/d:careered	ecdict_complete	
military	'militәri	n. 军队\na. 军事的, 军人的, 适于战争的	n.	922	474			ecdict_complete	
rental	'rentl	n. 租费, 租金收入\na. 租赁的, 收取租金的	n.	7700	4746		s:rentals	ecdict_complete	
decision	di'siʒәn	n. 决定, 决心, 决断\n[计] 判定	n.	381	479		s:decisions	ecdict_complete	
leave	li:v	n. 许可, 告别, 请假, 休假\nvt. 离开, 剩下, 遗忘, 委托, 丢弃\nvi. 出发, 离开, 生叶	n.	127	150		d:left/p:left/i:leaving/3:leaves/s:leaves	ecdict_complete	
british	'britiʃ	a. 英国的\nn. 英国人, 英国英语	a.	24056	1183			ecdict_complete	
teens	ti:ns	n. 十三岁到十九岁	n.	0	0		0:teen/1:s	ecdict_complete	
huge	hju:dʒ	a. 极大的, 巨大的, 无限的	a.	1230	911			ecdict_complete	
sat	sæt	n. 饱和度\nsit的过去式和过去分词\n[计] 饱和度	n.	25115	0		0:sit/1:pd/s:sats/3:sats	ecdict_complete	
woman	'wumәn	n. 女人, 妇女, 女仆\na. 女用的, 女性的, 妇女的\nvt. 贬称...为女人, 使成女人腔	n.	130	111		s:women	ecdict_complete	
zip	zip	n. 尖啸声, 拉链, 活力\nvt. 给...以速度, 使增加活力, 拉(拉链)\nvi. 有力而迅速地行动, 嘘嘘地响, 拉拉链	n.	10485	8896		p:zipped/s:zips/i:zipping/d:zipped/3:zips	ecdict_complete	
bid	bid	n. 出价\nv. 命令, 吩咐, 请求, 表示, 宣布, 投标	n.	2359	4069		s:bids/d:bid/0:bid/1:dp/i:bidding/p:bade/3:bids	ecdict_complete	
kind	kaind	n. 种类, 性质, 方式\na. 亲切的, 仁慈的, 和蔼的	n.	337	250		s:kinds/r:kinder/t:kindest	ecdict_complete	
middle	'midl	n. 中央, 中间, 腰部\na. 中央的, 中庸的, 中间的	n.	1360	988		s:middles/i:middling/p:middled/3:middles/d:middled	ecdict_complete	
move	mu:v	n. 移动, 迁居, 步骤\nvt. 移动, 开动, 感动, 搬(家)\nvi. 移动, 离开, 运行, 迁移, 摇动, 搬家, 交往, 进展, 脱手\n[计] 移动 / 传送 / DOS外部命令:移动文件, 它可将文件移动到指定的地方	n.	220	207		i:moving/p:moved/d:moved/3:moves/s:moves	ecdict_complete	
cable	'keibl	n. 电缆, 海底电报, 缆, 索\nvi. 打海底电报\nvt. 发海底电报, 缚住\n[计] 电缆	n.	3033	2003		s:cables/p:cabled/d:cabled/i:cabling/3:cables	ecdict_complete	
opportunities	ˌɒpə'tju:nɪtɪs	n. 机会( opportunity的名词复数 ) / 适当的时机 / 条件 / 就业（或晋升、进步等）的良机	n.	0	0		0:opportunity/1:s	ecdict_complete	
taking	'teikiŋ	n. 取得, 捕获, 进款\na. 迷人的, 可爱的, 会传染的	n.	7540	10158		0:take/1:i/s:takings/i:taking	ecdict_complete	
division	di'viʒәn	n. 分, 分开, 除法, 部门(如部、处、系等), 师\n[计] 部分	n.	891	1849		s:divisions	ecdict_complete	
coming	'kʌmiŋ	n. 来临\na. 就要来的, 接着的	n.	5247	4720		0:come/1:i/i:coming/s:comings	ecdict_complete	
tuesday	'tju:zdi	n. 星期二	n.	2348	0		s:tuesdays	ecdict_complete	
object	'ɒbdʒekt	n. 物体, 目标, 目的, 对象, 宾语, 客体\nvi. 反对, 抱反感\nvt. 提出...来反对\n[计] 对象	n.	1028	1153		s:objects/p:objected/d:objected/i:objecting/3:objects	ecdict_complete	
lesbian	'lezbiәn	a. 女同性恋的\nn. 女同性恋者	a.	7412	6338		s:lesbians	ecdict_complete	
appropriate	ә'prәupriәt	a. 适当的\n[经] 适当的, 拨出, 占用	a.	883	1493		d:appropriated/3:appropriates/p:appropriated/i:appropriating	ecdict_complete	
machine	mә'ʃi:n	n. 机器, 机械装置, 机构, 自动售货机, 机械般工作的人\nvt. 以机器制造	n.	761	1022		s:machines/d:machined/i:machining/p:machined/3:machines	ecdict_complete	
logo	'lәugәu	n. 连合活字, 商标, 徽标\n[计] 徽标	n.	6999	5920		s:logos	ecdict_complete	
length	leŋθ	n. 长度, 长, 期间, 一段\n[计] 记录长度 / 块长 / 字长	n.	1174	1855		s:lengths	ecdict_complete	
actually	'æktʃuәli	adv. 事实上, 竟然, 如今, 现在	adv.	354	396			ecdict_complete	
nice	nais	a. 美好的, 和蔼的, 正派的, 做得好的, 精密的, 细微的, 挑剔的, 谨慎的	a.	750	897		r:nicer/t:nicest	ecdict_complete	
score	skɒ:	n. 得分, 抓痕, 二十个, 刻痕, 帐目, 乐谱, 起跑线, 终点线, 大量\nvt. 刻划, 划线, 获得, 评价, 把...记下\nvi. 刻痕, 记分, 得分\n[计] 得分	n.	1818	1070		p:scored/s:scores/d:scored/i:scoring/3:scores	ecdict_complete	
statistics	stә'tistiks	n. 统计学, 统计资料\n[计] 统计信息	n.	2602	2709			ecdict_complete	
client	'klaiәnt	n. 客户, 顾客, 委托人\n[计] 客户, 客户机, 客户机程序	n.	907	1157		s:clients	ecdict_complete	
ok	'әu'kei	a. 好, 不错, 可以\nadv. 好, 不错, 可以\nn. 批准, 认可\n[计] 确定	a.	3743	830			ecdict_complete	
capital	'kæpitәl	n. 首都, 大写字母, 资本\na. 首都的, 重要的	n.	729	1061		s:capitals	ecdict_complete	
follow	'fɒlәu	vt. 跟随, 沿行, 遵循, 追求\nvi. 跟随, 接着\nn. 跟随, 追随	vt.	186	325		i:following/d:followed/3:follows/p:followed	ecdict_complete	
sample	'sæmpl	n. 样品, 范例, 样本\nvt. 抽样, 尝试\n[计] 示例, 字样	n.	1349	1311		s:samples/d:sampled/i:sampling/p:sampled/3:samples	ecdict_complete	
investment	in'vestmәnt	n. 投资\n[医] 包埋料, 围模料, 包埋法, 围模法	n.	816	1040		s:investments	ecdict_complete	
saturday	'sætәdi	n. 星期六	n.	1159	0		s:saturdays	ecdict_complete	
christmas	'krismәs	n. 圣诞节	n.	1142	1232		s:Christmases	ecdict_complete	
england	'iŋglәnd	n. 英格兰\n[法] 英格兰, 英国	n.	411	0			ecdict_complete	
culture	'kʌltʃә	n. 文化, 修养, 耕种\nvt. 耕种, 培养	n.	983	611		s:cultures/d:cultured/i:culturing	ecdict_complete	
band	bænd	n. 带子, 队, 乐队\nv. 联合, 结合\n[计] 频带 / 波段 / 区	n.	1145	1277		s:bands/3:bands/d:banded/i:banding/p:banded	ecdict_complete	
flash	flæʃ	n. 闪光, 闪现, 一瞬间\nvi. 闪光, 闪现, 反射\nvt. 使闪光, 反射	n.	4001	3500		p:flashed/i:flashing/s:flashes/d:flashed/3:flashes/r:flasher	ecdict_complete	
lead	li:d. led	n. 铅, 铅条, 领导, 超前量, 领引, 榜样, 主角, 导线\nvt. 引导, 带领, 领导, 指挥, 致使, 加铅于, 用铅包\nvi. 领导, 带头, 导致, 用测深锤测深, 被铅覆盖\na. 带头的, 最重要的	n.	263	318		p:led/d:led/i:leading/3:leads/s:leads/0:lead/1:d	ecdict_complete	
george	dʒɔ:dʒ	n. 乔治（男子名）；自动操纵装置；英国最高勋爵勋章上的圣乔治诛龙图	n.	896	0			ecdict_complete	
choice	tʃɒis	n. 选择, 精选品, 选择权\na. 精选的, 挑三拣四的, 上等的\n[计] DOS内部命令:在批处理文件中\n该命令用于提示用户作出选择, 决定批处理文件的流程	n.	725	630		s:choices	ecdict_complete	
starting	'stɑ:tiŋ	n. 开端, 开始, 出发, 起动, 开动\n[机] 开动, 起动	n.	3953	3899		0:start/1:i/i:starting/s:startings	ecdict_complete	
registration	.redʒi'streiʃәn	n. 登记, 挂号, 注册\n[计] 登记 / 定位 / 对齐 / 记录	n.	3135	5378		s:registrations	ecdict_complete	
thursday	'θә:zdi	n. 星期四	n.	2258	0		s:thursdays	ecdict_complete	
consumer	kәn'sju:mә	n. 消费者\n[经] 消费者, 用户	n.	1428	1052		s:consumers	ecdict_complete	
hi	hai	interj. 喂	interj.	6210	2072			ecdict_complete	
airport	'єәpɒ:t	n. 飞机场\n[机] 航空站, 机场	n.	2541	1765		s:airports	ecdict_complete	
foreign	'fɒ:rin	a. 外国的, 外交的, 外省的, 外来的, 不相关的\n[机] 外来的	a.	621	689			ecdict_complete	
artist	'ɑ:tist	n. 艺术家, 画家	n.	1218	736		s:artists	ecdict_complete	
outside	'aut'said	n. 外面, 外表, 外界\na. 外面的, 外表的, 外界的\nadv. 外面, 外表, 外界	n.	857	809			ecdict_complete	
furniture	'fәnitʃә	n. 家具, 帆具	n.	2428	2669			ecdict_complete	
channel	'tʃænәl	n. 海峡, 航道, 频道\nvt. 引导, 在...上挖沟, 形成河道\n[计] 信道, 通道	n.	1617	2518		s:channels/d:channelled/i:channelling/p:channelled/3:channels	ecdict_complete	
letter	'letә	n. 信, 字母, 证书, 字面意义, 铅字, 学问, 出租人\nvt. 写字母于, 在...上刻字母, 用字母标明\nvi. 写印刷体字\n[计] 字母	n.	454	628		s:letters/p:lettered/i:lettering/3:letters/d:lettered	ecdict_complete	
mode	mәud	n. 模态, 调式, 样式, 文体, 状态, 方式, 风尚\n[计] 方式 / DOS外部命令:设定各种设备命令	n.	2219	2793		s:modes	ecdict_complete	
wednesday	'wenzdi	n. 星期三	n.	1980	0		s:wednesdays	ecdict_complete	
structure	'strʌktʃә	n. 结构, 构造, 建筑物\nvt. 构成, 组织	n.	557	950		s:structures/d:structured/i:structuring/3:structures/p:structured	ecdict_complete	
fund	fʌnd	n. 基金, 资金, 存款, 财源, 贮藏\nvt. 提供资金, 积累	n.	852	754		s:funds/d:funded/i:funding/p:funded/3:funds	ecdict_complete	
summer	'sʌmә	n. 夏季, 全盛时期\nvi. 避暑, 过夏天\n[计] 加法器	n.	858	619		s:summers/i:summering/p:summered/3:summers/d:summered	ecdict_complete	
allow	ә'lau	vt. 允许, 同意给予, 承认\nvi. 容许, 猜想\n[计] 允许命令	vt.	257	339		d:allowed/i:allowing/3:allows/p:allowed	ecdict_complete	
degree	di'gri:	n. 程度, 度数, 学位, 度\n[医] 度, 程度	n.	763	789		s:degrees	ecdict_complete	
contract	'kɒntrækt	n. 合约, 婚约, 契约\nvt. 使皱缩, 使缩短, 感染, 订约, 缔结\nvi. 皱缩, 订约, 收缩	n.	628	1269		s:contracts/d:contracted/i:contracting/p:contracted/3:contracts	ecdict_complete	
button	'bʌtәn	n. 钮扣, 按钮\nvi. 扣住\nvt. 钉钮扣于, 扣紧\n[计] 按钮	n.	2977	2645		s:buttons/p:buttoned/i:buttoning/d:buttoned/3:buttons	ecdict_complete	
wed	wed	vt. 与...结婚, 使结合\nvi. 结婚	vt.	8029	9544		d:wed/0:wed/1:dp/p:wed/3:weds/i:wedding	ecdict_complete	
super	'sju:pә	n. 跑龙套角色, 冗员, 特级品, 特大号, 管理人\na. 上等的, 特大的, 超级的, 极好的, 十分的, 过分的\nadv. 非常	n.	4154	2651		s:supers	ecdict_complete	
male	meil	n. 男人, 雄性动物\na. 男性的, 雄性的, 有力的	n.	1126	1530		s:males	ecdict_complete	
matter	'mætә	n. 事件, 物质, 原因, 素材, 实体, 重要\nvi. 有关系	n.	370	528		s:matters/3:matters/p:mattered/d:mattered/i:	ecdict_complete	
custom	'kʌstәm	n. 习惯, 风俗, 海关, 自定义\na. 定制的\n[计] 定制 / 自定义	n.	2344	2993		s:customs	ecdict_complete	
virginia	vә'dʒinjә	n. 弗吉尼亚	n.	5056	0			ecdict_complete	
almost	'ɒ:lmәust	adv. 几乎, 差不多	adv.	280	291			ecdict_complete	
multiple	'mʌltipl	n. 倍数, 并联\na. 多样的, 许多的, 多功能的	n.	3293	1948		s:multiples	ecdict_complete	
asian	'eiʃәn	n. 亚洲人\na. 亚洲的, 亚洲人的	n.	3725	2351		s:asians	ecdict_complete	
distribution	.distrә'bju:ʃәn	n. 分配\n[计] 分布	n.	1456	2373		s:distributions	ecdict_complete	
editor	'editә	n. 编者, 编辑, 主笔, 编辑器, 编辑装置\n[计] 编辑器	n.	1945	1385		s:editors	ecdict_complete	
inn	in	n. 旅馆, 客栈\nvi. 住旅馆	n.	3852	6591		s:inns	ecdict_complete	
industrial	in'dʌstriәl	a. 工业的, 供工业用的, 工业高度发展的, 产业的\nn. 工业工人, 工业股票	a.	863	1913			ecdict_complete	
cause	kɒ:z	n. 原因, 目标\nvt. 引起, 使产生, 使遭受	n.	476	601		d:caused/i:causing/s:causes/p:caused/3:causes	ecdict_complete	
potential	pә'tenʃәl	n. 潜在性, 可能性, 潜力, 潜能, 势, 位\na. 有潜力的, 可能的, 潜在的	n.	1438	1260		s:potentials	ecdict_complete	
song	sɒŋ	n. 歌, 曲, 鸣声, 歌唱, 歌曲, 诗歌	n.	1405	851		s:songs	ecdict_complete	
los	lɔ:s	abbr. 月球轨道航天器（Lunar Orbiter Spacecraft）；视线（Line of Sight）	abbr.	5085	0			ecdict_complete	
focus	'fәukәs	n. 焦点, 焦距\nvi. 聚焦, 注视\nvt. 使聚焦, 调焦, 集中\n[计] 焦点	n.	1918	688		d:focused/i:focusing/3:focuses/p:focused/s:foci	ecdict_complete	
late	leit	a. 迟的, 晚的, 已故的\nadv. 很晚, 很迟, 晚	a.	298	437		r:later/t:latest	ecdict_complete	
fall	fɒ:l	n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天\nvi. 倒下, 落下, 来临, 失守, 阵亡, 下跌, 减弱, 倾斜, 垮台, 轮到, 变成, 降低\na. 秋天的	n.	332	410		p:fell/d:fallen/i:falling/3:falls/s:falls	ecdict_complete	
featured	'fi:tʃәd	a. 面貌秀丽的, 被作为特色的	a.	32846	14617		0:feature/1:dp/p:featured/d:featured	ecdict_complete	
idea	ai'diә	n. 主意, 办法, 理想, 思想, 概念, 意见\n[医] 观念, 思想	n.	268	311		s:ideas	ecdict_complete	
female	'fi:meil	n. 女性, 女人, 雌性动物\na. 女性的, 女子的	n.	1563	1396		s:females	ecdict_complete	
responsible	ri'spɒnsәbl	a. 有责任的, 负责的, 责任重大的\n[法] 应负责任的, 有责任的, 能履行责任的	a.	1054	1365			ecdict_complete	
communications	kәmju:ni'keiʃ(ә)nz	n. 交通设施, 通讯系统	n.	0	0		0:communication/1:s	ecdict_complete	
win	win	vt. 赢得, 打胜, 成功\nvi. 获胜, 达到, 影响\nn. 胜利, 赢, 收益	vt.	388	361		p:won/d:won/i:winning/3:wins/s:wins	ecdict_complete	
thomas	'tɒmәs	n. 多马(耶稣十二门徒之一)	n.	1409	0		0:thoma/1:s	ecdict_complete	
primary	'praimәri	n. 最主要者, 原色\na. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的\n[计] 初等量 / 主要的 / 一次的	n.	1172	1504		s:primaries	ecdict_complete	
cancer	'kænsә	n. 癌, 恶性肿瘤\n[医] 癌	n.	1943	1029		s:cancers	ecdict_complete	
numbers	'nʌmbәz	n. 数字（number的复数）；算术	n.	0	0		0:number/1:s	ecdict_complete	
reason	'ri:zn	n. 理由, 原因, 理智, 道理, 前提, 理性\nvt. 说服, 推论, 辩论\nvi. 推论, 劝说, 思考	n.	310	359		s:reasons/p:reasoned/i:reasoning/3:reasons/d:reasoned	ecdict_complete	
tool	tu:l	n. 工具, 机床, 傀儡\nvt. 用工具加工\nvi. 使用工具	n.	1739	1291		s:tools/i:tooling/p:tooled/3:tools/d:tooled	ecdict_complete	
browser	'brauzә	n. 吃嫩叶的动物, 浏览书本的人\n[计] 浏览程序	n.	25100	9689		s:browsers	ecdict_complete	
spring	spriŋ	n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉\na. 春天的\nvi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸\nvt. 使跳起, 使爆炸, 突然提出	n.	1503	901		s:springs/p:sprang/d:sprung/i:springing/3:springs	ecdict_complete	
foundation	faun'deiʃәn	n. 基础, 根据, 建立\n[化] 地基	n.	1824	2256		s:foundations	ecdict_complete	
answer	'ɑ:nsә	n. 答案, 回答, 回报, 答辩\nvt. 回答, 反驳, 适应, 响应, 符合\nvi. 回答, 答应, 负责, 符合, 成功\n[计] 用户问题及答案新闻组	n.	808	767		s:answers/p:answered/d:answered/i:answering/3:answers	ecdict_complete	
voice	vɒis	n. 声音, 嗓音, 嗓子, 愿望, 发言权, 表达, 喉舌, 语态\nvt. 表达, 吐露, 调音	n.	487	465		s:voices/d:voiced/p:voiced/i:voicing/3:voices	ecdict_complete	
friendly	'frendli	a. 友好的, 亲切的, 互助的\nadv. 友善地, 温和地	a.	2241	2760		r:friendlier/s:friendlies/t:friendliest	ecdict_complete	
schedule	'skedʒuәl	n. 时间表, 一览表, 计划表, 议事日程\nvt. 预定, 编制目录, 制...表, 安排	n.	2702	2144		d:scheduled/s:schedules/i:scheduling/p:scheduled/3:schedules	ecdict_complete	
communication	kә.mju:ni'keiʃәn	n. 交流, 交通, 通讯\n[计] 通信	n.	1039	1250		s:communications	ecdict_complete	
purpose	'pә:pәs	n. 目的, 意向, 决心, 用途, 效果, 论题\nvt. 意欲, 企图, 计划	n.	655	1014		s:purposes/i:purposing/p:purposed/3:purposes/d:purposed	ecdict_complete	
feature	'fi:tʃә	n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写\nvt. 是...的特色, 特写, 放映\nvi. 起重要作用\n[计] 特性	n.	741	1190		s:features/i:featuring/3:features/d:featured/p:featured	ecdict_complete	
bed	bed	n. 床, 睡眠处, 河床, 底座, 路基, 一层\nvt. 提供宿处, 栽种, 安装\nvi. 睡, 形成坚实的一层	n.	563	683		s:beds/d:bedded/i:bedding/p:bedded/3:beds	ecdict_complete	
comes	'kɔmis	v. 来自；从…来（come的三单形式）	v.	0	0		0:come/1:3	ecdict_complete	
police	pә'li:s	n. 警察, 警察当局, 治安\nvt. 维持治安, 管辖	n.	328	468		s:police/0:police/1:s/i:policing/d:policed/p:policed/3:polices	ecdict_complete	
everyone	'evriwʌn	pron. 每个人, 人人\n[计] 系统中的一个组名	pron.	753	529			ecdict_complete	
independent	.indi'pendәnt	n. 独立自主者, 无党派者\na. 独立的, 有主见的, 不须依赖的, 不受约束的	n.	1013	1265		s:independents	ecdict_complete	
approach	ә'prәutʃ	n. 接近, 入门\nvt. 接近, 近似, 找...商量\nvi. 靠近	n.	583	750		s:approaches/p:approached/i:approaching/d:approached/3:approaches	ecdict_complete	
brown	braun	n. 褐色\na. 褐色的\nv. (使)变褐色	n.	2018	1769		s:browns/p:browned/r:browner/d:browned/i:browning/3:browns	ecdict_complete	
physical	'fizikl	a. 身体的, 物质的, 自然的, 物理学的, 好色的\nn. 体格检查	a.	1047	802			ecdict_complete	
operating	'ɔpәreitiŋ	a. 操作的, 工作的, 营业上的, 业务的, 关于收支的, 关于损益的, 外科手术的\n[机] 运转费用	a.	2648	3207		0:operate/1:i/i:operating	ecdict_complete	
hill	hil	n. 小山, 丘陵, 小土堆\nvt. 作成土堆, 堆成小丘	n.	1134	1800		s:hills/i:hilling/p:hilled/3:hills/d:hilled	ecdict_complete	
medicine	'medisin	n. 药, 医学, 内科\nvt. 给...用药	n.	2476	1473		s:medicines	ecdict_complete	
deal	di:l	n. 交易, 协定, 数量, 买卖, 松木板\nvi. 处理, 应付, 做生意\nvt. 分配, 发牌, 给予\n[计] 发牌	n.	595	674		i:dealing/d:dealt/s:deals/3:deals/p:dealt	ecdict_complete	
hold	hәuld	n. 把握, 把持力, 柄, 控制, 掌握, 监禁\nvt. 保存, 握住, 拿住, 占据, 持有, 拥有\nvi. 支持, 持续, 有效\nn. 保留\n[计] 保留	n.	178	213		d:held/p:held/i:holding/3:holds/s:holds	ecdict_complete	
chicago	ʃi'kɑ:gәu	n. 芝加哥	n.	5411	0			ecdict_complete	
glass	glɑ:s	n. 玻璃, 玻璃杯, 透镜\nvt. 装玻璃于, 反射, 反映\nvi. 成玻璃状	n.	844	820		s:glasses/i:glassing/p:glassed/3:glasses/d:glassed	ecdict_complete	
happy	'hæpi	a. 快乐的, 幸福的, 愉快的, 恰当的	a.	777	747		r:happier/t:happiest	ecdict_complete	
smith	smiθ	n. 铁匠, 金属品工匠\n[机] 锻造工, 上手	n.	1169	0		s:smiths	ecdict_complete	
wanted	'wɔntid. 'wɔ:n-	a. 被通缉的	a.	13788	11782		0:want/1:pd/d:wanted/p:wanted	ecdict_complete	
developed	di'velәpid	a. 发达的（国家或地区）；成熟的	a.	4393	4979		0:develop/1:dp/d:developed/p:developed	ecdict_complete	
thank	θæŋk	n. 谢意, 感谢\nvt. 谢谢, 感谢	n.	768	498		p:thanked/i:thanking/d:thanked/3:thanks	ecdict_complete	
safe	seif	n. 保险箱, 冷藏室\na. 安全的, 可靠的, 平安的, 稳健的, 有把握的	n.	1244	1058		r:safer/t:safest/s:safes	ecdict_complete	
unique	ju:'ni:k	a. 独一无二的, 独特的, 稀罕的	a.	2090	1726			ecdict_complete	
survey	sә'vei	n. 纵览, 视察, 测量, 俯瞰, 调查\nvt. 审视, 视察, 俯瞰, 通盘考虑\nvi. 测量土地	n.	1015	1241		s:surveys/i:surveying/p:surveyed/d:surveyed/3:surveys	ecdict_complete	
prior	'praiә	a. 更重要的, 较早的, 在先的\nn. 小隐修院院长, 大隐修院副院长	a.	5045	2856		s:priors	ecdict_complete	
telephone	'telifәun	n. 电话, 电话机\nv. 打电话	n.	1327	1865		p:telephoned/s:telephones/i:telephoning/d:telephoned/3:telephones	ecdict_complete	
sport	spɒ:t	n. 运动, 游戏, 娱乐, 消遣, 玩笑\na. 运动的, 户外穿戴的\nvi. 游戏, 参加体育运动, 戏弄, 产生变种\nvt. 炫耀, 使产生变种	n.	1122	666		s:sports/p:sported/i:sporting/3:sports/d:sported	ecdict_complete	
ready	'redi	n. 预备好的状态, 现款\na. 准备好的, 备用的, 可以使用的\nadv. 预先, 迅速\nvt. 使准备好	n.	976	758		s:readies/i:readying/r:readier/d:readied/p:readied/3:readies	ecdict_complete	
feed	fi:d	n. 饲料, 一餐, 饲养\nvt. 喂, 饲养, 放牧, 靠...为生\nvi. 吃东西, 用餐, 流入\n[计] 送纸	n.	1412	1317		d:fed/p:fed/i:feeding/3:feeds/1:pd/0:feed/s:feeds	ecdict_complete	
animal	'ænimәl	n. 动物\n[医] 动物	n.	652	728		s:animals	ecdict_complete	
mexico	'meksikәu	n. 墨西哥	n.	4177	0			ecdict_complete	
population	.pɒpju'leiʃәn	n. 人口, 人口数\n[化] 群体 / 总体	n.	683	642		s:populations	ecdict_complete	
regular	'regjulә	a. 规则的, 常例的, 有秩序的, 整齐的, 等边的, 定期的, 经常的, 合格的, 常备军的\nn. 正规军, 正式队员\nadv. 经常地\nn. 正常体\n[计] 正常体	a.	1276	1370		s:regulars	ecdict_complete	
secure	si'kjuә	a. 无虑的, 安心的, 安全的, 可靠的, 保险的\nvt. 固定, 获得, 保证, 使安全, 掩护, 招致\nvi. 停止操作, 船抛锚	a.	1654	2489		d:secured/i:securing/p:secured/3:secures	ecdict_complete	
navigation	.nævi'geiʃәn	n. 航行, 航海, 导航\n[经] 航空, 航海, 航船	n.	7152	8237		s:navigations	ecdict_complete	
therefore	'ðєәfɒ:	adv. 因此, 所以	adv.	408	1161			ecdict_complete	
ass	æs	n. 驴, 傻瓜, 笨蛋, 屁股\n[计] 模拟仿真系统	n.	9929	4201		s:asses/d:assed	ecdict_complete	
simply	'simpli	adv. 简单地, 只是, 简直, 简朴地, 坦白地	adv.	568	583			ecdict_complete	
evidence	'evidәns	n. 根据, 证据, 迹象\n[经] 证据, 凭证	n.	456	606		d:evidenced/s:evidences/i:evidencing/p:evidenced/3:evidences	ecdict_complete	
